Location,Carpet Area,Transaction,Furnishing,Bathroom,Balcony,BHK,FlatFloor,TotalFloors,ParkingNumbers,Parking Type,SalePrice(in Crores),state
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,8.0,10.0,0,Not Available,0.67,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,2.0,7.0,1,Covered,0.43,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,0.0,3.0,10.0,12.0,0,Not Available,1.6,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,6.0,10.0,0,Not Available,0.5,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,3.0,0.0,2.0,3.0,3.0,0,Not Available,0.62,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,2.0,3.0,3.0,0,Not Available,0.65,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,1.0,14.0,0,Not Available,0.75,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,0.0,2.0,2.0,6.0,0,Not Available,0.14,Gujarat
Ahmedabad,960.0,Resale,Furnished,2.0,2.0,2.0,4.0,5.0,2,Covered,0.58,Gujarat
Ahmedabad,1175.0,Resale,Unfurnished,2.0,1.0,2.0,3.0,3.0,1,Covered,0.82,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,11.0,14.0,0,Not Available,1.0,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,6.0,12.0,0,Not Available,0.47,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,7.0,14.0,0,Not Available,0.5,Gujarat
Ahmedabad,2211.0,Resale,Unfurnished,3.0,3.0,4.0,2.0,22.0,1,Covered,0.97,Gujarat
Ahmedabad,1650.0,Resale,Furnished,3.0,1.0,3.0,6.0,9.0,0,Not Available,0.88,Gujarat
Ahmedabad,1122.0,Resale,Unfurnished,3.0,1.0,3.0,9.0,12.0,1,Covered,1.3,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,0.0,1.0,13.0,14.0,0,Not Available,0.225,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,0.0,1.0,14.0,14.0,0,Not Available,0.228,Gujarat
Ahmedabad,1286.0,Resale,Furnished,3.0,2.0,3.0,1.0,11.0,1,Open,0.9,Gujarat
Ahmedabad,1004.0,New Property,Unfurnished,3.0,1.0,3.0,5.0,14.0,1,Covered,0.65,Gujarat
Ahmedabad,612.0,Resale,Unfurnished,1.0,1.0,1.0,2.0,5.0,1,Open,0.23,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,1.0,7.0,0,Not Available,0.48,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,2.0,2.0,1.0,7.0,0,Not Available,0.4,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,2.0,2.0,4.0,4.0,0,Not Available,0.21,Gujarat
